Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,prefix,patient,capture,sequencer,depth
SNP,ALL,20698,19800,898,23365,703,2865,45,94,0.956614,0.965707,0.122619,0.961139,3.0735930735930737,2.9032904626691165,1.6089040232059528,1.8257713248638838,HG003_hiseq4000_idt_50x.haplotypecaller,HG003,idt,hiseq4000,50
SNP,PASS,20698,19800,898,23365,703,2865,45,94,0.956614,0.965707,0.122619,0.961139,3.0735930735930737,2.9032904626691165,1.6089040232059528,1.8257713248638838,HG003_hiseq4000_idt_50x.haplotypecaller,HG003,idt,hiseq4000,50
INDEL,ALL,1843,1486,357,2888,546,832,119,64,0.806294,0.734436,0.288089,0.768689,,,1.5332390381895333,2.5859473023839397,HG003_hiseq4000_truseq_50x.haplotypecaller,HG003,truseq,hiseq4000,50
INDEL,PASS,1843,1486,357,2888,546,832,119,64,0.806294,0.734436,0.288089,0.768689,,,1.5332390381895333,2.5859473023839397,HG003_hiseq4000_truseq_50x.haplotypecaller,HG003,truseq,hiseq4000,50
SNP,ALL,30921,29597,1324,35792,1358,4846,149,138,0.957181,0.956117,0.135393,0.956649,2.774225042714181,2.5902527075812274,1.5834656858647496,1.7984356667970278,HG003_hiseq4000_truseq_50x.haplotypecaller,HG003,truseq,hiseq4000,50
SNP,PASS,30921,29597,1324,35792,1358,4846,149,138,0.957181,0.956117,0.135393,0.956649,2.774225042714181,2.5902527075812274,1.5834656858647496,1.7984356667970278,HG003_hiseq4000_truseq_50x.haplotypecaller,HG003,truseq,hiseq4000,50
INDEL,ALL,570,528,42,1110,137,430,28,19,0.926316,0.798529,0.387387,0.857689,,,1.7738693467336684,3.0,HG003_novaseq_agilent_100x.haplotypecaller,HG003,agilent,novaseq,100
INDEL,PASS,570,528,42,1110,137,430,28,19,0.926316,0.798529,0.387387,0.857689,,,1.7738693467336684,3.0,HG003_novaseq_agilent_100x.haplotypecaller,HG003,agilent,novaseq,100
SNP,ALL,22580,22199,381,27527,883,4450,40,112,0.983127,0.961737,0.161659,0.972314,2.975356451328991,2.7161560264543123,1.603899850005769,1.932225063938619,HG003_novaseq_agilent_100x.haplotypecaller,HG003,agilent,novaseq,100
SNP,PASS,22580,22199,381,27527,883,4450,40,112,0.983127,0.961737,0.161659,0.972314,2.975356451328991,2.7161560264543123,1.603899850005769,1.932225063938619,HG003_novaseq_agilent_100x.haplotypecaller,HG003,agilent,novaseq,100
INDEL,ALL,570,516,54,1083,140,416,30,16,0.905263,0.790105,0.384118,0.843773,,,1.7738693467336684,2.96309963099631,HG003_novaseq_agilent_50x.haplotypecaller,HG003,agilent,novaseq,50
INDEL,PASS,570,516,54,1083,140,416,30,16,0.905263,0.790105,0.384118,0.843773,,,1.7738693467336684,2.96309963099631,HG003_novaseq_agilent_50x.haplotypecaller,HG003,agilent,novaseq,50
SNP,ALL,22580,22128,452,27411,862,4423,56,100,0.979982,0.962502,0.161359,0.971164,2.975356451328991,2.7246298057329166,1.603899850005769,1.9334118402740605,HG003_novaseq_agilent_50x.haplotypecaller,HG003,agilent,novaseq,50
SNP,PASS,22580,22128,452,27411,862,4423,56,100,0.979982,0.962502,0.161359,0.971164,2.975356451328991,2.7246298057329166,1.603899850005769,1.9334118402740605,HG003_novaseq_agilent_50x.haplotypecaller,HG003,agilent,novaseq,50
INDEL,ALL,570,528,42,1103,132,428,25,14,0.926316,0.804444,0.388033,0.861089,,,1.7738693467336684,2.9,HG003_novaseq_agilent_75x.haplotypecaller,HG003,agilent,novaseq,75
INDEL,PASS,570,528,42,1103,132,428,25,14,0.926316,0.804444,0.388033,0.861089,,,1.7738693467336684,2.9,HG003_novaseq_agilent_75x.haplotypecaller,HG003,agilent,novaseq,75
SNP,ALL,22580,22171,409,27463,895,4402,48,109,0.981887,0.96119,0.160288,0.971428,2.975356451328991,2.7234648230988205,1.603899850005769,1.9350010690613642,HG003_novaseq_agilent_75x.haplotypecaller,HG003,agilent,novaseq,75
SNP,PASS,22580,22171,409,27463,895,4402,48,109,0.981887,0.96119,0.160288,0.971428,2.975356451328991,2.7234648230988205,1.603899850005769,1.9350010690613642,HG003_novaseq_agilent_75x.haplotypecaller,HG003,agilent,novaseq,75
INDEL,ALL,382,336,46,733,71,312,11,14,0.879581,0.831354,0.425648,0.854788,,,1.7028985507246377,2.867021276595745,HG003_novaseq_idt_100x.haplotypecaller,HG003,idt,novaseq,100
